Sub,Exp,ACTIVE,PERCEPTUAL,MUSICAL,SINGING,EMOTIONS,GENERAL,inst,Age,Gender,Major,Minor,SchoolUGorG,MuscMajMinor,BeginTrain,AbsPitch,YearsPrac,PeakPrac,Live12Mo,TheoryTrain,FormalYrs,NoOfInst,ActListenMin,SubjectNo,SubRaven,RavenB1,RavenB2,RavenB3,RavenTotal,OspanSub,OspanAccError,OspanMathError,OspanAbsoluteScore,OspanPartialScore,OspanB1,OspanB2,OspanB3,OspanSpeedErrTot,SymSub,SymAccErrTot,SymSpeedErrTot,SspanAbsScore,SspanPartiaScore,SspanB1,SspanB2,SspanB3,SymmErrTot,ToneSub,ToneAccErrTot,ToneMathErrTot,TspanAbsScore,TspanPartScore,TspanB1,TspanB2,TspanB3,ToneSpeedErrTot,BeatSub,BeatTotal,BeatAcc,MelodicSub,MelodicTot,MelodicAcc,Native,Paid
976,2,37,52,8,29,30,63,nothing,20,FEMALE,,,,,,,,,,,,,,,,6,6,5,17,,,,,,,,,,,,,,,,,,,,6,10,0,34,14,7,13,4,,,,,,,,
977,2,54,53,11,35,40,80,voice,18,MALE,,,,,,,,,,,,,,,,10,9,9,28,,,,,,,,,,,,,,,,,,,,2,2,51,68,21,22,25,0,,,,,,,,
978,2,44,46,9,25,38,62,guitar,19,Male,,,,,,,,,,,,,,,,9,8,7,24,,,,,,,,,,,,,,,,,,,,2,2,23,52,14,17,21,0,,,,,,,,
979,2,37,49,13,40,31,72,trumbone,18,MALE,,,,,,,,,,,,,,,,8,7,8,23,,,,,,,,,,,,,,,,,,,,3,5,20,42,13,15,14,2,,,,,,,,
981,2,35,20,7,26,32,46,voice,21,FEMALE,,,,,,,,,,,,,,,,8,8,8,24,,,,,,,,,,,,,,,,,,,,3,6,15,49,18,19,12,3,,,,,,,,
982,2,35,50,7,18,29,51,nothing,19,MALE,,,,,,,,,,,,,,,,10,9,10,29,,,,,,,,,,,,,,,,,,,,2,5,42,66,22,21,23,3,,,,,,,,
983,2,44,48,16,31,24,70,none,19,FEMALE,,,,,,,,,,,,,,,,9,9,6,24,,,,,,,,,,,,,,,,,,,,1,2,32,57,20,15,22,1,,,,,,,,
984,2,32,44,15,26,27,57,voice,20,FEMALE,,,,,,,,,,,,,,,,7,9,6,22,,,,,,,,,,,,,,,,,,,,4,4,36,54,14,15,25,0,,,,,,,,
985,2,43,51,9,27,33,66,piano,22,female,,,,,,,,,,,,,,,,8,6,6,20,,,,,,,,,,,,,,,,,,,,2,5,9,41,11,15,15,3,,,,,,,,
986,2,41,46,23,16,39,67,Guitar,25,Male,,,,,,,,,,,,,,,,7,6,6,19,,,,,,,,,,,,,,,,,,,,2,2,7,25,11,8,6,0,,,,,,,,
987,2,37,39,24,27,37,71,Clarinet,20,FEMALE,,,,,,,,,,,,,,,,10,7,11,28,,,,,,,,,,,,,,,,,,,,4,4,6,33,10,10,13,0,,,,,,,,
988,2,38,53,32,32,37,85,Voice,32,FEMALE,,,,,,,,,,,,,,,,8,7,7,22,,,,,,,,,,,,,,,,,,,,5,7,32,50,17,14,19,2,,,,,,,,
